eid,frame_idx,decision,conf,memo_present
2025_04_08_1744120420_L,5,HOLD,0.95,1
2025_04_08_1744120420_L,6,HOLD,0.90,1
2025_04_08_1744120420_L,7,HOLD,0.85,1
2025_04_08_1744120420_L,8,HOLD,0.92,1
2025_04_08_1744120420_L,9,HOLD,0.88,1
2025_04_08_1744120420_L,10,HOLD,0.98,1
2025_04_08_1744120420_L,11,HOLD,0.95,1
2025_04_08_1744120420_L,12,HOLD,0.98,1
2025_04_08_1744120420_L,13,HOLD,0.95,1
2025_04_08_1744120420_L,14,HOLD,0.85,1
2025_04_08_1744120420_L,15,HOLD,0.92,1
2025_04_08_1744120420_L,16,HOLD,0.85,1
2025_04_08_1744120420_L,17,HOLD,0.95,1
2025_04_08_1744120420_L,18,HOLD,0.93,1
2025_04_08_1744120420_L,19,HOLD,0.92,1
2025_04_08_1744120420_L,20,HOLD,0.95,1
2025_04_08_1744120420_L,21,HOLD,0.98,1
2025_04_08_1744120420_L,22,HOLD,0.98,1
2025_04_08_1744120420_L,23,HOLD,0.95,1
2025_04_08_1744120420_L,24,HOLD,0.95,1
2025_04_08_1744120420_L,25,HOLD,0.94,1
2025_04_08_1744120420_L,26,HOLD,0.98,1
2025_04_08_1744120420_L,27,HOLD,0.94,1
2025_04_08_1744120420_L,28,HOLD,0.97,1
2025_04_08_1744120420_L,29,HOLD,0.98,1
2025_04_08_1744120420_L,30,HOLD,0.97,1
2025_04_08_1744120420_L,31,HOLD,0.97,1
2025_04_08_1744120420_L,32,HOLD,0.95,1
2025_04_08_1744120420_L,33,HOLD,0.98,1
2025_04_08_1744120420_L,34,HOLD,0.98,1
2025_04_08_1744120420_L,35,HOLD,0.98,1
2025_04_08_1744120420_L,36,HOLD,0.95,1
2025_04_08_1744120420_L,37,HOLD,0.96,1
2025_04_08_1744120420_L,38,HOLD,0.98,1
2025_04_08_1744120420_L,39,HOLD,0.98,1
2025_04_08_1744124595_S,0,HOLD,0.60,1
2025_04_08_1744124595_S,1,HOLD,0.75,1
2025_04_08_1744124595_S,2,HOLD,0.65,1
2025_04_08_1744124595_S,3,HOLD,0.70,1
2025_04_08_1744124595_S,4,HOLD,0.85,1
2025_04_08_1744124595_S,5,HOLD,0.90,1
2025_04_08_1744124595_S,6,HOLD,0.80,1
2025_04_08_1744124595_S,7,HOLD,0.85,1
2025_04_08_1744124595_S,8,HOLD,0.95,1
2025_04_08_1744124595_S,9,HOLD,0.95,1
2025_04_08_1744124595_S,10,HOLD,0.92,1
2025_04_08_1744124595_S,11,HOLD,0.95,1
2025_04_08_1744124595_S,12,HOLD,0.95,1
2025_04_08_1744124595_S,13,HOLD,0.98,1
2025_04_08_1744124595_S,14,HOLD,0.98,1
2025_04_08_1744124595_S,15,HOLD,0.95,1
2025_04_08_1744124595_S,16,HOLD,0.95,1
2025_04_08_1744124595_S,17,HOLD,0.98,1
2025_04_08_1744124595_S,18,HOLD,0.92,1
2025_04_08_1744124595_S,19,HOLD,0.95,1
2025_04_08_1744124595_S,20,HOLD,0.98,1
2025_04_08_1744124595_S,21,HOLD,0.98,1
2025_04_08_1744124595_S,22,HOLD,0.95,1
2025_04_08_1744124595_S,23,HOLD,0.98,1
2025_04_08_1744124595_S,24,HOLD,0.98,1
2025_04_08_1744124595_S,25,HOLD,0.98,1
2025_04_08_1744124595_S,26,HOLD,0.98,1
2025_04_08_1744124595_S,27,HOLD,0.95,1
2025_04_08_1744124595_S,28,HOLD,0.98,1
2025_04_08_1744124595_S,29,HOLD,0.98,1
2025_04_08_1744124595_S,30,HOLD,0.98,1
2025_04_08_1744124595_S,31,HOLD,0.98,1
2025_04_08_1744124595_S,32,HOLD,0.92,1
2025_04_08_1744124595_S,33,HOLD,0.95,1
2025_04_08_1744124595_S,34,HOLD,0.98,1
2025_04_08_1744124595_S,35,HOLD,0.98,1
2025_04_08_1744124595_S,36,HOLD,0.98,1
2025_04_08_1744124595_S,37,HOLD,0.97,1
