eid,frame_idx,p_exit,prompt_tokens,tainted
2025_01_23_1737653440_S,5,0.000005,11579,N
2025_01_23_1737653440_S,6,0.000012,11012,N
2025_01_23_1737653440_S,7,0.000912,11094,N
2025_01_23_1737653440_S,8,0.000003,11156,N
2025_01_23_1737653440_S,9,0.000400,11219,N
2025_01_23_1737653440_S,10,0.027591,11977,N
2025_01_23_1737653440_S,11,0.002265,11423,N
2025_01_23_1737653440_S,12,0.000001,11504,N
2025_01_23_1737653440_S,13,0.000028,11561,N
2025_01_23_1737653440_S,14,0.000002,11639,N
2025_01_23_1737653440_S,15,0.000000,13094,N
2025_01_23_1737653440_S,16,0.000000,11799,N
2025_01_23_1737653440_S,17,0.000001,11855,N
2025_01_23_1737653440_S,18,0.000000,11910,N
2025_01_23_1737654625_L,0,0.000003,8494,N
2025_01_23_1737654625_L,1,0.000002,10634,N
2025_01_23_1737654625_L,2,0.000323,10730,N
2025_01_23_1737654625_L,3,0.003169,10789,N
2025_01_23_1737654625_L,4,0.000249,10847,N
2025_01_23_1737654625_L,5,0.000022,11589,N
2025_01_23_1737654625_L,6,0.001530,11022,N
2025_01_23_1737654625_L,7,0.003177,11061,N
2025_01_23_1737654625_L,8,0.033167,11155,N
2025_01_23_1737654625_L,9,0.017972,11221,N
2025_01_23_1737654625_L,10,0.022740,13378,N
2025_01_23_1737654625_L,11,0.033995,11388,N
2025_01_23_1737654625_L,12,0.000088,11448,N
2025_01_23_1737654625_L,13,0.451669,11513,N
2025_01_23_1737654625_L,14,0.121133,11603,N
2025_01_23_1737654625_L,15,0.010458,12339,N
2025_01_23_1737654625_L,16,0.000845,11750,N
2025_01_23_1737654625_L,17,0.003209,11825,N
2025_01_23_1737654625_L,18,0.526907,11926,N
2025_01_23_1737654625_L,19,0.846743,11970,N
2025_01_23_1737654625_L,20,0.018928,12734,N
2025_01_23_1737654625_L,21,0.023172,12179,N
2025_01_23_1737654625_L,22,0.001322,12178,N
2025_01_23_1737654625_L,23,0.076776,12182,N
2025_01_23_1737654625_L,24,0.000008,12210,N
2025_01_23_1737654625_L,25,0.000070,13606,N
2025_01_23_1737654625_L,26,0.000505,12202,N
2025_01_23_1737654625_L,27,0.000279,12193,N
2025_01_23_1737654625_L,28,0.000023,12217,N
2025_01_23_1737654625_L,29,0.000068,12219,N
2025_01_23_1737654625_L,30,0.000013,12924,N
2025_01_23_1737654625_L,31,0.000059,12217,N
2025_01_23_1737654625_L,32,0.000096,12221,N
2025_01_23_1737654625_L,33,0.000066,12231,N
2025_01_23_1737654625_L,34,0.000008,12239,N
2025_01_23_1737654625_L,35,0.000106,12932,N
2025_01_23_1737654625_L,36,0.051364,12233,N
2025_01_23_1737654625_L,37,0.000353,12224,N
2025_01_23_1737654625_L,38,0.008449,12230,N
2025_01_23_1737654625_L,39,0.000090,12202,N
2025_01_23_1737654625_L,40,0.000935,13620,N
2025_01_23_1737654625_L,41,0.097228,12232,N
2025_01_23_1737654625_L,42,0.187126,12239,N
2025_01_23_1737654625_L,43,0.000090,12247,N
2025_01_23_1737654625_L,44,0.000946,12236,N
2025_01_23_1737654625_L,45,0.001908,12914,N
2025_01_23_1737654625_L,46,0.000064,12234,N
2025_01_23_1737654625_L,47,0.000036,12240,N
2025_01_23_1737654625_L,48,0.000269,12228,N
2025_01_23_1737654625_L,49,0.001896,12210,N
2025_01_23_1737654625_L,50,0.009217,12924,N
2025_01_23_1737654625_L,51,0.000877,12230,N
2025_01_23_1737654625_L,52,0.000017,12216,N
2025_01_23_1737654625_L,53,0.000004,12216,N
2025_01_23_1737654625_L,54,0.003520,12229,N
2025_01_23_1737654625_L,55,0.002556,13616,N
2025_01_23_1737654625_L,56,0.032449,12222,N
2025_01_23_1737654625_L,57,0.000532,12215,N
2025_01_31_1738334640_L,0,0.000006,8498,N
2025_01_31_1738334640_L,1,0.001198,10675,N
2025_01_31_1738334640_L,2,0.000002,12132,N
2025_01_31_1738334640_L,3,0.000519,10837,N
2025_01_31_1738334640_L,4,0.008533,10930,N
2025_01_31_1738334640_L,5,0.000732,10977,N
2025_01_31_1738334640_L,6,0.000503,11036,N
2025_01_31_1738334640_L,7,0.000009,11810,N
2025_01_31_1738334640_L,8,0.000851,11238,N
2025_01_31_1738334640_L,9,0.023893,11313,N
2025_01_31_1738334640_L,10,0.103163,11382,N
2025_01_31_1738334640_L,11,0.048240,11452,N
2025_01_31_1738334640_L,12,0.000017,12238,N
2025_01_31_1738334640_L,13,0.000036,11611,N
2025_01_31_1738334640_L,14,0.002388,11702,N
2025_01_31_1738334640_L,15,0.000008,11771,N
2025_01_31_1738334640_L,16,0.000750,11840,N
2025_01_31_1738334640_L,17,0.002937,14056,N
2025_01_31_1738334640_L,18,0.000016,12050,N
2025_01_31_1738334640_L,19,0.000011,12111,N
2025_01_31_1738334640_L,20,0.000005,12165,N
2025_01_31_1738334640_L,21,0.000006,12221,N
2025_01_31_1738334640_L,22,0.000093,12937,N
2025_01_31_1738334640_L,23,0.000053,12237,N
2025_01_31_1738334640_L,24,0.000245,12250,N
2025_01_31_1738334640_L,25,0.000013,12255,N
2025_01_31_1738334640_L,26,0.000477,12268,N
2025_01_31_1738334640_L,27,0.005287,12968,N
2025_01_31_1738334640_L,28,0.000015,12268,N
2025_01_31_1738334640_L,29,0.000105,12274,N
2025_01_31_1738334640_L,30,0.000360,12257,N
2025_01_31_1738334640_L,31,0.000104,12261,N
2025_01_31_1738334640_L,32,0.000130,13678,N
2025_01_31_1738334640_L,33,0.000214,12262,N
2025_01_31_1738334640_L,34,0.000077,12268,N
2025_01_31_1738334640_L,35,0.000000,12263,N
2025_01_31_1738334640_L,36,0.000292,12256,N
2025_01_31_1738334640_L,37,0.036967,12961,N
2025_01_31_1738334640_L,38,0.000128,12271,N
2025_01_31_1738334640_L,39,0.000036,12266,N
2025_01_31_1738334640_L,40,0.000217,12267,N
2025_01_31_1738334640_L,41,0.000038,12273,N
2025_01_31_1738334640_L,42,0.000246,12968,N
2025_01_31_1738334640_L,43,0.000266,12247,N
2025_01_31_1738334640_L,44,0.000004,12255,N
2025_01_31_1738334640_L,45,0.000006,12266,N
2025_01_31_1738334640_L,46,0.000008,12263,N
2025_01_31_1738334640_L,47,0.000049,13683,N
2025_01_31_1738334640_L,48,0.000151,12282,N
2025_01_31_1738334640_L,49,0.000006,12287,N
2025_01_31_1738334640_L,50,0.000004,12292,N
2025_01_31_1738334640_L,51,0.000003,12292,N
2025_01_31_1738334640_L,52,0.000675,13002,N
2025_01_31_1738334640_L,53,0.000014,12301,N
2025_01_31_1738334640_L,54,0.000000,12312,N
2025_01_31_1738334640_L,55,0.000003,12318,N
2025_01_31_1738334640_L,56,0.000005,12323,N
2025_01_31_1738334640_L,57,0.000114,13017,N
2025_01_31_1738334640_L,58,0.000002,12314,N
2025_01_31_1738334640_L,59,0.000046,12303,N
2025_01_31_1738334640_L,60,0.000006,12307,N
2025_01_31_1738341540_S,0,0.000002,8514,N
2025_01_31_1738341540_S,1,0.000003,10679,N
2025_01_31_1738341540_S,2,0.000056,11425,N
2025_01_31_1738341540_S,3,0.000092,10842,N
2025_01_31_1738341540_S,4,0.000017,10912,N
2025_01_31_1738341540_S,5,0.001614,11017,N
2025_01_31_1738341540_S,6,0.003365,11084,N
2025_01_31_1738341540_S,7,0.000229,12529,N
2025_01_31_1738341540_S,8,0.000014,11265,N
2025_01_31_1738341540_S,9,0.000001,11298,N
2025_01_31_1738341540_S,10,0.000001,11370,N
2025_01_31_1738341540_S,11,0.000001,11436,N
2025_01_31_1738341540_S,12,0.000054,12199,N
2025_01_31_1738341540_S,13,0.000352,11611,N
2025_01_31_1738341540_S,14,0.000372,11685,N
2025_01_31_1738341540_S,15,0.012864,11760,N
