**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,dir,peak_pts,peak_dollar,bars_to_peak,sec_to_peak,path_len,pnl
2025_01_07,1736256600.0,long,10.0,20.0,3,15,34,13.0
2025_01_08,1736299020.0,short,5.75,11.5,18,90,56,-4.0
2025_01_08,1736307180.0,long,7.0,14.0,58,290,108,12.5
2025_01_08,1736325300.0,long,21.25,42.5,74,370,132,26.0
2025_01_08,1736329560.0,long,6.25,12.5,3,15,31,3.0
2025_01_08,1736331660.0,long,8.5,17.0,48,240,70,12.0
2025_01_09,1736398200.0,long,8.5,17.0,62,310,78,9.0
2025_01_09,1736418600.0,short,5.75,11.5,66,330,81,-6.0
2025_01_09,1736419200.0,short,13.0,26.0,68,340,89,11.5
2025_01_09,1736426700.0,long,21.5,43.0,58,290,101,37.5
2025_01_09,1736427420.0,short,5.0,10.0,24,120,33,1.5
2025_01_10,1736467620.0,short,59.0,118.0,139,695,278,53.0
2025_01_10,1736471400.0,short,4.25,8.5,16,80,23,11.0
2025_01_10,1736535300.0,short,90.25,180.5,182,910,205,128.0
2025_01_10,1736541900.0,short,10.5,21.0,13,65,49,12.5
2025_01_10,1736542140.0,long,40.25,80.5,71,355,181,48.5
2025_01_13,1736737200.0,short,30.25,60.5,152,760,177,42.5
2025_01_13,1736751000.0,short,3.75,7.5,11,55,18,-4.0
2025_01_13,1736760900.0,long,12.25,24.5,13,65,24,10.0
2025_01_13,1736761020.0,short,4.0,8.0,48,240,61,6.5
2025_01_13,1736767200.0,long,5.5,11.0,21,105,25,2.0
2025_01_13,1736767320.0,short,5.25,10.5,18,90,23,9.0
2025_01_13,1736769000.0,long,1.5,3.0,8,40,24,7.5
2025_01_13,1736769120.0,long,6.75,13.5,49,245,69,-11.5
2025_01_13,1736780400.0,long,29.25,58.5,54,270,61,62.5
2025_01_13,1736780700.0,long,30.25,60.5,24,120,49,-42.5
2025_01_13,1736793600.0,long,4.5,9.0,81,405,85,6.5
2025_01_14,1736814720.0,long,5.5,11.0,22,110,30,3.0
2025_01_14,1736831700.0,short,4.25,8.5,23,115,48,0.5
2025_01_14,1736838600.0,short,13.0,26.0,20,100,165,-19.5
2025_01_14,1736882700.0,short,4.0,8.0,18,90,25,20.5
2025_01_14,1736882820.0,short,17.75,35.5,48,240,85,3.5
2025_01_15,1736918160.0,short,7.0,14.0,49,245,90,4.0
2025_01_15,1736919300.0,long,2.25,4.5,10,50,23,3.0
2025_01_15,1736919480.0,long,2.75,5.5,52,260,76,-1.0
2025_01_15,1736921700.0,long,5.0,10.0,40,200,51,12.0
2025_01_15,1736928000.0,short,13.25,26.5,34,170,60,-10.5
2025_01_15,1736942520.0,short,10.0,20.0,19,95,79,-13.5
2025_01_15,1736946000.0,short,6.0,12.0,98,490,105,7.5
2025_01_15,1736948400.0,long,28.25,56.5,97,485,109,5.5
2025_01_15,1736970600.0,long,15.5,31.0,55,275,85,23.5
2025_01_16,1736988300.0,long,2.5,5.0,16,80,204,-26.5
2025_01_16,1736996700.0,short,8.5,17.0,203,1015,208,15.0
2025_01_16,1737004200.0,short,12.5,25.0,59,295,114,14.0
2025_01_16,1737005400.0,short,22.75,45.5,106,530,148,11.0
2025_01_16,1737025500.0,long,7.75,15.5,35,175,80,3.5
2025_01_16,1737034260.0,short,1.0,2.0,11,55,25,3.5
2025_01_16,1737034380.0,short,15.75,31.5,21,105,73,-26.5
2025_01_16,1737071400.0,short,3.25,6.5,13,65,26,10.5
2025_01_17,1737076320.0,short,12.5,25.0,86,430,120,12.0
2025_01_17,1737093300.0,long,5.25,10.5,23,115,109,-3.5
2025_01_17,1737118800.0,long,57.25,114.5,144,720,169,106.0
2025_01_17,1737140700.0,short,8.5,17.0,19,95,25,19.0
2025_01_17,1737142500.0,long,0.75,1.5,14,70,25,5.0
2025_01_17,1737142620.0,short,7.0,14.0,5,25,25,7.0
2025_01_17,1737146400.0,short,10.0,20.0,44,220,73,-4.5
2025_01_17,1737150900.0,short,3.75,7.5,19,95,44,-12.0
2025_01_20,1737347100.0,short,6.5,13.0,39,195,67,8.5
2025_01_20,1737353100.0,long,2.0,4.0,55,275,59,5.5
2025_01_20,1737365400.0,short,12.0,24.0,56,280,77,18.5
2025_01_20,1737369900.0,short,5.5,11.0,141,705,173,-1.0
2025_01_20,1737390600.0,long,2.0,4.0,18,90,49,-5.0
2025_01_20,1737390840.0,short,4.75,9.5,22,110,71,-17.5
2025_01_21,1737432720.0,short,6.5,13.0,26,130,104,-13.0
2025_01_21,1737434220.0,long,5.75,11.5,9,45,21,4.0
2025_01_21,1737484320.0,long,8.0,16.0,97,485,157,-9.0
2025_01_21,1737486720.0,short,35.25,70.5,109,545,133,75.0
2025_01_21,1737490800.0,long,27.75,55.5,144,720,241,19.5
2025_01_22,1737513000.0,short,6.0,12.0,168,840,202,2.0
2025_01_22,1737540000.0,long,10.5,21.0,84,420,130,-2.0
2025_01_22,1737546900.0,long,3.5,7.0,31,155,54,8.5
2025_01_22,1737579000.0,short,12.5,25.0,29,145,97,-23.0
2025_01_23,1737602760.0,short,3.25,6.5,36,180,49,5.5
2025_01_23,1737611160.0,short,7.5,15.0,80,400,115,9.5
2025_01_23,1737623100.0,short,27.75,55.5,153,765,178,32.0
2025_01_23,1737631500.0,short,8.25,16.5,18,90,67,-3.5
2025_01_23,1737636300.0,long,7.5,15.0,70,350,119,2.5
2025_01_23,1737640620.0,short,15.25,30.5,140,700,169,19.5
2025_01_23,1737649560.0,long,29.0,58.0,93,465,121,18.0
2025_01_24,1737691620.0,long,5.5,11.0,57,285,165,-30.5
2025_01_24,1737712620.0,short,10.0,20.0,199,995,219,13.5
2025_01_24,1737726000.0,short,5.5,11.0,30,150,59,10.5
2025_01_24,1737733500.0,long,14.25,28.5,33,165,49,17.5
2025_01_24,1737740700.0,short,10.5,21.0,45,225,73,19.0
2025_01_27,1737936900.0,short,5.0,10.0,14,70,25,5.0
2025_01_27,1737943440.0,short,12.25,24.5,18,90,25,18.5
2025_01_27,1737979200.0,short,24.5,49.0,76,380,84,7.0
2025_01_27,1737981120.0,short,9.75,19.5,21,105,49,-9.5
2025_01_28,1738027800.0,long,4.25,8.5,27,135,50,14.5
2025_01_28,1738028340.0,short,4.5,9.0,20,100,24,4.0
2025_01_28,1738042200.0,short,37.0,74.0,79,395,221,23.5
2025_01_28,1738087200.0,long,4.75,9.5,14,70,25,10.0
2025_01_28,1738087320.0,long,3.75,7.5,8,40,25,23.5
2025_01_29,1738112100.0,long,5.5,11.0,41,205,209,3.5
2025_01_29,1738131000.0,long,7.5,15.0,73,365,79,4.5
2025_01_29,1738138500.0,long,11.5,23.0,32,160,37,16.5
2025_01_29,1738139340.0,long,21.0,42.0,65,325,141,7.5
2025_01_29,1738140300.0,long,6.0,12.0,21,105,46,1.0
2025_01_29,1738140540.0,short,1.75,3.5,8,40,64,6.0
2025_01_29,1738140900.0,short,12.0,24.0,59,295,84,15.5
2025_01_29,1738146300.0,long,16.0,32.0,147,735,192,24.5
2025_01_29,1738167300.0,short,0.75,1.5,12,60,25,17.5
2025_01_29,1738167720.0,short,10.25,20.5,99,495,157,-20.5
2025_01_29,1738169700.0,short,18.25,36.5,26,130,157,-43.0
2025_01_29,1738174680.0,short,4.5,9.0,10,50,25,3.5
2025_01_29,1738184400.0,short,79.5,159.0,68,340,97,40.5
2025_01_29,1738187940.0,long,8.0,16.0,4,20,85,8.5
2025_01_30,1738198500.0,long,8.25,16.5,142,710,161,10.5
2025_01_30,1738216560.0,long,5.25,10.5,21,105,29,13.5
2025_01_30,1738224000.0,long,25.5,51.0,90,450,130,36.0
2025_01_30,1738248300.0,short,88.5,177.0,230,1150,277,157.0
2025_01_30,1738261380.0,short,25.0,50.0,78,390,241,-68.0
2025_01_30,1738271940.0,long,9.25,18.5,17,85,23,9.0
2025_01_30,1738272300.0,short,48.0,96.0,50,250,122,0.5
2025_01_30,1738272960.0,long,9.0,18.0,19,95,25,7.5
2025_01_30,1738273080.0,short,25.0,50.0,29,145,80,20.0
2025_01_30,1738273500.0,short,15.25,30.5,40,200,48,13.5
2025_01_30,1738273740.0,long,8.5,17.0,42,210,60,-9.5
2025_01_31,1738285200.0,long,6.25,12.5,3,15,69,7.0
2025_01_31,1738300200.0,long,7.5,15.0,97,485,105,11.0
2025_01_31,1738317720.0,short,12.75,25.5,119,595,188,18.0
2025_01_31,1738318800.0,long,15.0,30.0,74,370,115,9.0
2025_01_31,1738323300.0,short,2.0,4.0,63,315,67,-2.5
2025_01_31,1738328040.0,short,16.75,33.5,111,555,240,23.5
2025_02_02,1738539960.0,short,23.75,47.5,38,190,49,20.0
2025_02_03,1738561200.0,short,4.75,9.5,15,75,75,-15.5
2025_02_03,1738566600.0,long,18.0,36.0,45,225,49,9.0
2025_02_03,1738579200.0,long,10.5,21.0,55,275,67,-11.5
2025_02_03,1738591560.0,long,14.5,29.0,79,395,109,-10.5
2025_02_03,1738592760.0,long,124.0,248.0,165,825,193,183.5
2025_02_03,1738607160.0,long,6.0,12.0,10,50,25,17.0
2025_02_03,1738608000.0,long,3.5,7.0,9,45,25,-48.5
2025_02_03,1738608120.0,long,55.25,110.5,118,590,145,97.5
2025_02_04,1738634040.0,long,5.25,10.5,44,220,66,-10.0
2025_02_04,1738649640.0,short,6.5,13.0,4,20,24,16.0
2025_02_04,1738650840.0,short,4.75,9.5,13,65,25,45.0
2025_02_04,1738661640.0,short,4.0,8.0,9,45,29,7.5
2025_02_04,1738665600.0,short,6.25,12.5,17,85,41,-18.5
2025_02_04,1738673100.0,long,4.75,9.5,8,40,96,5.5
2025_02_04,1738674000.0,short,8.75,17.5,23,115,49,-26.5
2025_02_04,1738679100.0,short,21.75,43.5,68,340,73,25.5
2025_02_04,1738698360.0,short,18.5,37.0,63,315,85,25.0
2025_02_04,1738698900.0,short,41.0,82.0,56,280,97,44.0
2025_02_05,1738739400.0,short,8.75,17.5,59,295,100,0.0
2025_02_05,1738743300.0,long,4.0,8.0,7,35,24,-1.0
2025_02_05,1738743420.0,short,4.75,9.5,13,65,23,3.5
2025_02_05,1738743540.0,long,26.25,52.5,75,375,116,50.5
2025_02_05,1738752600.0,short,3.5,7.0,15,75,20,13.0
2025_02_05,1738763700.0,long,10.0,20.0,38,190,84,-16.0
2025_02_05,1738771260.0,long,48.25,96.5,100,500,253,-18.0
2025_02_05,1738786260.0,long,8.75,17.5,67,335,73,13.0
2025_02_06,1738813500.0,long,10.0,20.0,92,460,118,15.5
2025_02_06,1738849080.0,short,2.5,5.0,15,75,24,7.5
2025_02_06,1738857900.0,long,30.0,60.0,80,400,109,64.0
2025_02_06,1738861620.0,short,6.75,13.5,45,225,49,19.0
2025_02_06,1738865820.0,long,17.0,34.0,105,525,133,21.0
2025_02_06,1738878420.0,long,5.75,11.5,8,40,37,7.0
2025_02_07,1738903560.0,short,8.5,17.0,76,380,119,12.0
2025_02_07,1738920600.0,short,3.0,6.0,6,30,238,-21.5
2025_02_07,1738923600.0,long,5.0,10.0,71,355,108,7.5
2025_02_07,1738926600.0,short,7.5,15.0,72,360,93,13.0
2025_02_07,1738927200.0,short,9.5,19.0,33,165,113,2.0
2025_02_07,1738930500.0,long,4.25,8.5,18,90,39,3.0
2025_02_07,1738932600.0,short,7.5,15.0,128,640,149,9.0
2025_02_07,1738937220.0,long,11.0,22.0,31,155,37,10.0
2025_02_07,1738937520.0,long,10.25,20.5,55,275,61,13.5
2025_02_07,1738939200.0,long,18.0,36.0,32,160,121,7.0
2025_02_07,1738946700.0,short,31.25,62.5,22,110,49,36.0
2025_02_07,1738947300.0,short,21.25,42.5,60,300,73,25.5
2025_02_07,1738962720.0,short,6.0,12.0,31,155,37,15.5
2025_02_10,1739152500.0,long,1.75,3.5,8,40,33,5.5
2025_02_10,1739159820.0,long,2.75,5.5,10,50,19,5.0
2025_02_10,1739211600.0,long,6.75,13.5,71,355,169,-7.5
2025_02_10,1739212620.0,short,4.25,8.5,21,105,25,7.5
2025_02_11,1739253600.0,short,7.75,15.5,91,455,108,17.0
2025_02_11,1739254440.0,long,4.25,8.5,117,585,154,1.5
2025_02_11,1739256960.0,short,0.25,0.5,3,15,23,18.5
2025_02_11,1739258400.0,short,6.0,12.0,17,85,45,3.0
2025_02_11,1739259720.0,short,39.5,79.0,173,865,222,46.5
2025_02_11,1739273700.0,short,7.75,15.5,64,320,127,-6.5
2025_02_11,1739274900.0,short,22.75,45.5,85,425,152,34.5
2025_02_11,1739291280.0,long,8.75,17.5,9,45,73,6.5
2025_02_11,1739297400.0,short,16.25,32.5,21,105,49,13.0
2025_02_11,1739297640.0,long,2.5,5.0,8,40,25,17.0
2025_02_11,1739308020.0,long,3.0,6.0,19,95,25,3.0
2025_02_11,1739308140.0,long,4.0,8.0,21,105,25,3.5
2025_02_11,1739309040.0,long,2.5,5.0,71,355,76,2.0
2025_02_11,1739310300.0,long,8.25,16.5,97,485,132,5.5
2025_02_12,1739380920.0,long,6.0,12.0,7,35,25,2.0
2025_02_12,1739381040.0,long,10.5,21.0,22,110,85,7.5
2025_02_13,1739424300.0,short,3.25,6.5,10,50,16,4.0
2025_02_13,1739451840.0,short,16.75,33.5,121,605,143,14.0
2025_02_13,1739455620.0,long,7.0,14.0,16,80,24,-2.0
2025_02_13,1739455740.0,long,7.5,15.0,189,945,252,17.0
2025_02_14,1739526540.0,short,12.5,25.0,25,125,79,11.5
2025_02_14,1739530800.0,short,22.25,44.5,96,480,130,22.5
2025_02_14,1739536560.0,short,3.25,6.5,20,100,34,2.5
2025_02_14,1739537400.0,short,4.0,8.0,21,105,159,-25.5
2025_02_14,1739539440.0,short,1.5,3.0,17,85,46,5.0
2025_02_14,1739543940.0,short,11.0,22.0,31,155,61,15.0
2025_02_14,1739551500.0,short,26.25,52.5,63,315,97,12.5
2025_02_14,1739567100.0,long,12.5,25.0,67,335,97,3.5
2025_02_17,1739757960.0,long,2.0,4.0,28,140,37,0.0
2025_02_17,1739760300.0,long,3.25,6.5,12,60,42,3.5
2025_02_17,1739771700.0,long,4.25,8.5,66,330,140,-6.0
2025_02_18,1739862600.0,long,3.75,7.5,15,75,213,-21.5
2025_02_18,1739872800.0,short,7.75,15.5,50,250,133,-6.0
2025_02_18,1739874000.0,long,4.0,8.0,16,80,35,11.5
2025_02_18,1739874180.0,long,4.5,9.0,52,260,71,2.5
2025_02_18,1739882040.0,short,12.5,25.0,194,970,257,23.5
2025_02_18,1739898360.0,short,14.25,28.5,21,105,49,29.0
2025_02_18,1739911800.0,long,78.0,156.0,159,795,169,127.5
2025_02_19,1739968200.0,short,11.25,22.5,36,180,115,10.0
2025_02_19,1739968860.0,short,3.75,7.5,33,165,46,-11.5
2025_02_19,1740001800.0,short,7.5,15.0,46,230,176,-16.0
2025_02_20,1740041640.0,long,4.75,9.5,24,120,61,8.0
2025_02_20,1740054600.0,long,16.25,32.5,69,345,93,31.0
2025_02_20,1740055440.0,short,11.0,22.0,88,440,124,6.0
2025_02_20,1740069600.0,short,15.0,30.0,31,155,37,-5.0
2025_02_20,1740078600.0,long,15.0,30.0,34,170,73,23.0
2025_02_21,1740109200.0,short,2.5,5.0,12,60,17,3.0
2025_02_21,1740117480.0,long,15.25,30.5,91,455,122,27.5
2025_02_21,1740122400.0,short,6.75,13.5,26,130,115,-3.0
2025_02_21,1740129900.0,long,6.25,12.5,101,505,124,12.5
2025_02_21,1740132000.0,short,9.25,18.5,24,120,62,11.5
2025_02_21,1740144000.0,long,1.75,3.5,4,20,107,-3.0
2025_02_21,1740144540.0,long,3.5,7.0,20,100,25,0.5
2025_02_21,1740144780.0,short,2.5,5.0,37,185,48,8.5
2025_02_21,1740147720.0,short,86.0,172.0,118,590,157,106.0
2025_02_21,1740155040.0,short,37.75,75.5,73,365,109,11.5
2025_02_21,1740168420.0,short,13.0,26.0,21,105,25,24.5
2025_02_21,1740172140.0,short,1.5,3.0,16,80,25,10.5
2025_02_24,1740394620.0,short,14.75,29.5,80,400,214,-2.5
2025_02_24,1740425100.0,short,18.5,37.0,39,195,49,30.5
2025_02_24,1740426600.0,short,15.5,31.0,35,175,49,36.5
2025_02_24,1740426840.0,short,12.0,24.0,30,150,61,-0.5
2025_02_25,1740446520.0,short,4.25,8.5,20,100,25,5.5
2025_02_25,1740446640.0,short,15.5,31.0,48,240,156,-44.5
2025_02_25,1740453900.0,short,11.5,23.0,92,460,126,15.0
2025_02_25,1740513600.0,long,8.0,16.0,15,75,25,-20.0
2025_02_25,1740513720.0,short,13.25,26.5,15,75,49,-28.0
2025_02_25,1740514500.0,short,7.0,14.0,17,85,25,17.5
2025_02_25,1740514620.0,long,66.25,132.5,92,460,121,76.5
2025_02_25,1740525660.0,short,2.5,5.0,13,65,22,3.5
2025_02_26,1740535560.0,long,25.75,51.5,142,710,190,33.5
2025_02_26,1740558900.0,long,4.75,9.5,20,100,25,1.5
2025_02_26,1740559020.0,short,4.25,8.5,46,230,74,2.5
2025_02_26,1740568380.0,long,4.0,8.0,10,50,19,6.5
2025_02_26,1740568800.0,long,3.75,7.5,216,1080,237,-1.5
2025_02_26,1740593700.0,short,10.75,21.5,25,125,49,-26.0
2025_02_26,1740606600.0,long,9.25,18.5,20,100,24,30.5
2025_02_27,1740627600.0,long,7.5,15.0,43,215,127,-10.5
2025_02_27,1740640200.0,long,30.5,61.0,167,835,171,53.0
2025_02_27,1740671100.0,short,15.0,30.0,8,40,25,-30.0
2025_02_27,1740681600.0,short,17.0,34.0,18,90,25,14.5
2025_02_28,1740714000.0,long,5.25,10.5,18,90,25,4.5
2025_02_28,1740714120.0,short,29.0,58.0,68,340,167,-16.0
2025_02_28,1740727200.0,long,10.0,20.0,22,110,47,-12.0
2025_02_28,1740727440.0,long,7.5,15.0,16,80,23,-6.5
2025_02_28,1740754800.0,short,63.5,127.0,46,230,61,86.0
2025_02_28,1740764400.0,short,6.75,13.5,12,60,25,75.0
2025_02_28,1740764520.0,short,86.5,173.0,104,520,193,156.5
2025_02_28,1740766500.0,short,77.75,155.5,79,395,109,135.5
2025_02_28,1740779100.0,long,3.75,7.5,19,95,46,0.5
2025_03_03,1740964200.0,long,9.5,19.0,205,1025,272,6.5
2025_03_03,1740970200.0,long,2.75,5.5,6,30,21,12.0
2025_03_03,1740970320.0,long,6.0,12.0,13,65,209,-76.0
2025_03_03,1741005900.0,short,8.5,17.0,16,80,47,9.5
2025_03_03,1741006260.0,short,18.0,36.0,57,285,97,15.5
2025_03_03,1741023900.0,short,35.5,71.0,31,155,61,13.0
2025_03_04,1741057200.0,long,8.0,16.0,67,335,152,-48.0
2025_03_04,1741058040.0,long,43.25,86.5,67,335,115,72.5
2025_03_04,1741061820.0,short,12.25,24.5,13,65,133,-29.0
2025_03_04,1741085100.0,short,9.75,19.5,24,120,165,-1.0
2025_03_04,1741099800.0,long,39.75,79.5,62,310,73,25.0
2025_03_05,1741163100.0,long,34.0,68.0,48,240,214,-19.5
2025_03_05,1741173420.0,short,14.0,28.0,22,110,42,5.0
2025_03_05,1741173660.0,short,21.5,43.0,56,280,81,14.5
2025_03_05,1741177500.0,short,14.0,28.0,43,215,167,-50.0
2025_03_05,1741192200.0,short,8.0,16.0,12,60,25,22.5
2025_03_05,1741192320.0,long,10.75,21.5,83,415,145,-79.0
2025_03_05,1741203900.0,long,8.5,17.0,13,65,25,31.0
2025_03_05,1741204740.0,long,65.75,131.5,64,320,85,120.0
2025_03_06,1741250340.0,short,35.0,70.0,54,270,109,27.0
2025_03_06,1741291800.0,short,32.25,64.5,39,195,49,-19.0
2025_03_06,1741292040.0,short,28.5,57.0,34,170,49,26.0
2025_03_06,1741293420.0,short,10.5,21.0,14,70,25,43.5
2025_03_07,1741312500.0,long,6.5,13.0,19,95,41,1.5
2025_03_07,1741319280.0,long,6.25,12.5,27,135,46,-1.0
2025_03_07,1741344300.0,long,6.5,13.0,20,100,29,1.5
2025_03_07,1741357500.0,short,0.25,0.5,17,85,25,27.5
2025_03_07,1741357620.0,short,17.25,34.5,36,180,61,-44.5
2025_03_07,1741360200.0,short,14.75,29.5,19,95,25,39.5
2025_03_07,1741382460.0,long,4.25,8.5,56,280,61,4.0
2025_03_07,1741383300.0,long,3.25,6.5,28,140,35,-1.0
2025_03_09,1741559580.0,long,4.0,8.0,14,70,24,14.0
2025_03_09,1741559700.0,long,5.25,10.5,17,85,25,8.5
2025_03_09,1741559820.0,long,3.75,7.5,14,70,23,12.5
2025_03_09,1741559940.0,long,8.0,16.0,33,165,59,-9.5
2025_03_10,1741612500.0,short,12.0,24.0,33,165,49,23.0
2025_03_10,1741612740.0,short,29.25,58.5,104,520,133,45.5
2025_03_10,1741623000.0,short,3.5,7.0,17,85,85,5.5
2025_03_10,1741637700.0,long,18.5,37.0,43,215,49,31.5
2025_03_10,1741637940.0,short,12.5,25.0,14,70,61,10.0
2025_03_10,1741644000.0,long,20.0,40.0,44,220,61,-3.0
2025_03_11,1741691400.0,long,2.25,4.5,5,25,24,15.0
2025_03_11,1741726200.0,short,8.75,17.5,17,85,25,31.5
2025_03_11,1741730700.0,long,10.75,21.5,24,120,30,6.5
2025_03_11,1741737000.0,long,24.75,49.5,37,185,86,51.0
2025_03_12,1741745220.0,short,5.5,11.0,3,15,103,-30.5
2025_03_12,1741751280.0,short,19.25,38.5,147,735,173,21.0
2025_03_12,1741767720.0,long,5.75,11.5,4,20,25,4.0
2025_03_12,1741789440.0,long,7.0,14.0,18,90,25,29.0
2025_03_12,1741806600.0,short,14.25,28.5,32,160,37,26.5
2025_03_12,1741806780.0,long,11.0,22.0,18,90,25,-0.5
2025_03_13,1741847700.0,short,21.25,42.5,42,210,102,7.5
2025_03_13,1741852800.0,short,7.25,14.5,12,60,85,3.5
2025_03_13,1741853520.0,short,46.75,93.5,75,375,121,54.5
2025_03_13,1741883400.0,short,83.5,167.0,223,1115,265,65.0
2025_03_13,1741884900.0,short,5.75,11.5,37,185,97,8.5
2025_03_14,1741910700.0,long,15.5,31.0,112,560,127,30.5
2025_03_14,1741919700.0,long,7.0,14.0,26,130,107,-16.5
2025_03_14,1741925100.0,long,2.75,5.5,19,95,40,4.0
2025_03_14,1741925340.0,long,7.5,15.0,64,320,87,4.0
2025_03_14,1741935600.0,short,28.0,56.0,130,650,157,41.5
2025_03_14,1741945620.0,long,12.5,25.0,85,425,107,5.0
2025_03_14,1741946400.0,long,6.75,13.5,3,15,44,4.5
2025_03_14,1741946760.0,short,19.0,38.0,113,565,151,21.0
2025_03_14,1741953600.0,long,12.75,25.5,27,135,37,10.0
2025_03_14,1741953780.0,long,5.75,11.5,18,90,25,20.5
2025_03_14,1741957200.0,long,18.75,37.5,54,270,121,7.5
2025_03_14,1741965300.0,long,7.75,15.5,21,105,25,10.0
2025_03_14,1741965420.0,long,30.5,61.0,82,410,109,11.0
2025_03_14,1741976460.0,short,6.0,12.0,18,90,25,23.5
2025_03_14,1741976580.0,short,9.5,19.0,20,100,25,-3.5
2025_03_16,1742164500.0,long,17.75,35.5,105,525,145,7.5
2025_03_17,1742173680.0,short,10.25,20.5,32,160,74,16.0
2025_03_17,1742183100.0,short,14.0,28.0,134,670,158,13.5
2025_03_17,1742196900.0,short,13.75,27.5,34,170,73,18.0
2025_03_17,1742201880.0,short,12.5,25.0,28,140,117,2.5
2025_03_17,1742239980.0,long,7.75,15.5,37,185,49,20.5
2025_03_17,1742250600.0,short,3.75,7.5,13,65,30,0.0
2025_03_17,1742251200.0,long,4.0,8.0,21,105,207,-22.0
2025_03_17,1742255100.0,short,12.75,25.5,44,220,89,20.0
2025_03_18,1742258880.0,short,1.25,2.5,5,25,20,6.0
2025_03_18,1742280960.0,long,3.5,7.0,123,615,207,-18.5
2025_03_18,1742284500.0,short,5.0,10.0,48,240,53,5.0
2025_03_18,1742307720.0,short,21.5,43.0,56,280,97,2.0
2025_03_18,1742310000.0,short,46.0,92.0,79,395,85,41.0
2025_03_19,1742347920.0,long,9.0,18.0,35,175,47,4.5
2025_03_19,1742351460.0,long,10.75,21.5,31,155,52,11.5
2025_03_19,1742380500.0,short,17.75,35.5,136,680,144,32.0
2025_03_19,1742383800.0,short,4.0,8.0,14,70,49,-12.0
2025_03_19,1742390400.0,short,7.0,14.0,26,130,72,-2.0
2025_03_19,1742390760.0,short,47.5,95.0,218,1090,289,-39.5
2025_03_19,1742398800.0,long,2.0,4.0,19,95,25,9.5
2025_03_19,1742398920.0,short,5.25,10.5,70,350,166,-64.5
2025_03_19,1742423700.0,long,8.75,17.5,12,60,30,20.0
2025_03_19,1742428560.0,long,7.5,15.0,10,50,20,13.0
2025_03_20,1742455800.0,short,4.25,8.5,8,40,19,4.0
2025_03_20,1742460240.0,short,9.0,18.0,22,110,56,4.0
2025_03_20,1742487300.0,short,13.75,27.5,63,315,71,31.0
2025_03_20,1742500920.0,short,7.0,14.0,43,215,64,-14.5
2025_03_21,1742528460.0,short,15.25,30.5,30,150,41,4.0
2025_04_01,1743498300.0,long,9.0,18.0,32,160,37,17.5
2025_04_01,1743528540.0,long,26.0,52.0,36,180,73,7.5
2025_04_01,1743551340.0,long,5.5,11.0,54,270,75,-8.5
2025_04_02,1743557700.0,short,11.25,22.5,55,275,82,-5.0
2025_04_02,1743602400.0,long,41.5,83.0,49,245,85,-7.0
2025_04_02,1743603420.0,short,21.25,42.5,6,30,121,-12.5
2025_04_02,1743605100.0,long,9.5,19.0,24,120,49,8.0
2025_04_02,1743605340.0,long,9.0,18.0,24,120,49,-20.5
2025_04_02,1743624480.0,long,30.5,61.0,9,45,25,15.5
2025_04_02,1743624720.0,long,305.5,611.0,62,310,97,400.0
2025_04_02,1743633420.0,short,53.25,106.5,84,420,226,9.5
