**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tier,t_since_peak_bucket,capture_bucket,n_is,n_oos,P_is_peak_final_IS,P_is_peak_final_OOS,sign_match
FADE_MOMENTUM,1,0,9277,2679,0.375,0.364,1
FADE_MOMENTUM,1,1,1925,532,0.723,0.733,1
FADE_MOMENTUM,1,2,3106,900,0.713,0.717,1
FADE_MOMENTUM,1,3,3517,1026,0.686,0.669,1
FADE_MOMENTUM,1,4,1167,320,0.493,0.512,0
FADE_MOMENTUM,2,0,8858,2576,0.519,0.517,1
FADE_MOMENTUM,2,1,2907,758,0.773,0.788,1
FADE_MOMENTUM,2,2,2947,859,0.75,0.76,1
FADE_MOMENTUM,2,3,2041,619,0.717,0.677,1
FADE_MOMENTUM,2,4,521,135,0.559,0.541,1
FADE_MOMENTUM,3,0,10024,2959,0.684,0.707,1
FADE_MOMENTUM,3,1,4007,1005,0.734,0.747,1
FADE_MOMENTUM,3,2,2286,604,0.682,0.72,1
FADE_MOMENTUM,3,3,1022,306,0.609,0.595,1
FADE_MOMENTUM,3,4,259,76,0.486,0.395,1
FADE_MOMENTUM,4,0,7668,2247,0.835,0.855,1
FADE_MOMENTUM,4,1,2103,578,0.74,0.858,1
FADE_MOMENTUM,4,2,1745,501,0.674,0.741,1
FADE_MOMENTUM,4,3,1070,341,0.493,0.619,0
FADE_MOMENTUM,4,4,235,76,0.34,0.447,1
FADE_MOMENTUM,5,0,2351,838,0.913,0.921,1
FADE_MOMENTUM,5,1,359,125,0.797,0.824,1
FADE_MOMENTUM,5,2,286,90,0.703,0.833,1
FADE_MOMENTUM,5,3,153,57,0.444,0.632,0
KILL_SHOT,0,0,21818,3949,0.233,0.218,1
KILL_SHOT,0,1,665,106,0.665,0.566,1
KILL_SHOT,0,2,1639,248,0.67,0.681,1
KILL_SHOT,0,3,3069,567,0.661,0.624,1
KILL_SHOT,0,4,19376,3527,0.493,0.467,1
KILL_SHOT,1,0,8834,1796,0.392,0.38,1
KILL_SHOT,1,1,1535,281,0.749,0.772,1
KILL_SHOT,1,2,2717,515,0.726,0.67,1
KILL_SHOT,1,3,3204,602,0.704,0.645,1
KILL_SHOT,1,4,1355,259,0.518,0.552,1
KILL_SHOT,2,0,8499,1605,0.518,0.481,0
KILL_SHOT,2,1,2360,449,0.782,0.744,1
KILL_SHOT,2,2,2623,458,0.772,0.714,1
KILL_SHOT,2,3,1930,387,0.73,0.69,1
KILL_SHOT,2,4,670,96,0.564,0.646,1
KILL_SHOT,3,0,9644,1733,0.69,0.658,1
KILL_SHOT,3,1,3337,582,0.751,0.703,1
KILL_SHOT,3,2,2255,410,0.701,0.732,1
KILL_SHOT,3,3,1119,210,0.61,0.59,1
KILL_SHOT,3,4,363,61,0.501,0.361,0
KILL_SHOT,4,0,7671,1307,0.843,0.857,1
KILL_SHOT,4,1,1778,318,0.796,0.799,1
KILL_SHOT,4,2,1675,300,0.725,0.71,1
KILL_SHOT,4,3,1123,180,0.556,0.533,1
KILL_SHOT,4,4,337,43,0.359,0.419,1
KILL_SHOT,5,0,2477,350,0.939,0.934,1
KILL_SHOT,5,1,309,49,0.848,0.878,1
KILL_SHOT,5,2,247,45,0.814,0.778,1
KILL_SHOT,5,3,150,18,0.533,,-1
NMP_FADE_RAW,0,0,115161,21779,0.224,0.215,1
NMP_FADE_RAW,0,1,3309,638,0.685,0.641,1
NMP_FADE_RAW,0,2,8495,1521,0.665,0.631,1
NMP_FADE_RAW,0,3,16548,3145,0.658,0.64,1
NMP_FADE_RAW,0,4,102262,19757,0.49,0.467,1
NMP_FADE_RAW,1,0,47561,9957,0.388,0.366,1
NMP_FADE_RAW,1,1,8379,1669,0.747,0.737,1
NMP_FADE_RAW,1,2,14703,3032,0.728,0.712,1
NMP_FADE_RAW,1,3,16731,3655,0.7,0.676,1
NMP_FADE_RAW,1,4,6977,1494,0.529,0.51,1
NMP_FADE_RAW,2,0,45231,9376,0.515,0.496,0
NMP_FADE_RAW,2,1,12948,2568,0.788,0.789,1
NMP_FADE_RAW,2,2,14454,2943,0.764,0.756,1
NMP_FADE_RAW,2,3,10191,2265,0.723,0.714,1
NMP_FADE_RAW,2,4,3364,590,0.562,0.554,1
NMP_FADE_RAW,3,0,51256,10546,0.691,0.686,1
NMP_FADE_RAW,3,1,18642,3375,0.757,0.753,1
NMP_FADE_RAW,3,2,11853,2340,0.695,0.716,1
NMP_FADE_RAW,3,3,5703,1184,0.607,0.6,1
NMP_FADE_RAW,3,4,1966,338,0.472,0.432,1
NMP_FADE_RAW,4,0,41032,7764,0.851,0.85,1
NMP_FADE_RAW,4,1,9912,2105,0.798,0.839,1
NMP_FADE_RAW,4,2,8982,1823,0.719,0.747,1
NMP_FADE_RAW,4,3,5627,1071,0.564,0.603,1
NMP_FADE_RAW,4,4,1553,281,0.382,0.384,1
NMP_FADE_RAW,5,0,13512,2519,0.935,0.925,1
NMP_FADE_RAW,5,1,1927,425,0.876,0.809,1
NMP_FADE_RAW,5,2,1406,263,0.782,0.798,1
NMP_FADE_RAW,5,3,818,201,0.615,0.637,1
NMP_FADE_RAW,5,4,250,39,0.452,0.436,1
NMP_FADE_RAW,6,0,70,8,1.0,,-1
NMP_RIDE_RAW,0,0,650,203,0.009,0.034,1
NMP_RIDE_RAW,0,2,113,30,0.159,0.067,1
NMP_RIDE_RAW,0,3,561,94,0.128,0.138,1
NMP_RIDE_RAW,0,4,4290,1076,0.076,0.071,1
NMP_RIDE_RAW,1,0,446,115,0.054,0.122,1
NMP_RIDE_RAW,1,1,105,37,0.124,0.081,1
NMP_RIDE_RAW,1,2,263,47,0.152,0.191,1
NMP_RIDE_RAW,1,3,1004,192,0.173,0.12,1
NMP_RIDE_RAW,1,4,1099,321,0.09,0.134,1
NMP_RIDE_RAW,2,0,612,143,0.1,0.217,1
NMP_RIDE_RAW,2,1,195,56,0.159,0.054,1
NMP_RIDE_RAW,2,2,409,70,0.171,0.2,1
NMP_RIDE_RAW,2,3,1121,244,0.183,0.148,1
NMP_RIDE_RAW,2,4,824,239,0.118,0.172,1
NMP_RIDE_RAW,3,0,1159,264,0.192,0.284,1
NMP_RIDE_RAW,3,1,406,96,0.177,0.188,1
NMP_RIDE_RAW,3,2,681,137,0.159,0.139,1
NMP_RIDE_RAW,3,3,1497,310,0.212,0.2,1
NMP_RIDE_RAW,3,4,761,246,0.109,0.195,1
NMP_RIDE_RAW,4,0,2143,547,0.271,0.291,1
NMP_RIDE_RAW,4,1,632,117,0.236,0.359,1
NMP_RIDE_RAW,4,2,938,196,0.176,0.224,1
NMP_RIDE_RAW,4,3,1668,402,0.239,0.276,1
NMP_RIDE_RAW,4,4,649,192,0.133,0.156,1
NMP_RIDE_RAW,5,0,5785,1521,0.358,0.367,1
NMP_RIDE_RAW,5,1,1237,321,0.283,0.327,1
NMP_RIDE_RAW,5,2,1760,362,0.272,0.282,1
NMP_RIDE_RAW,5,3,2148,511,0.234,0.301,1
NMP_RIDE_RAW,5,4,579,185,0.162,0.184,1
NMP_RIDE_RAW,6,0,16099,4100,0.532,0.565,1
NMP_RIDE_RAW,6,1,1993,436,0.389,0.206,1
NMP_RIDE_RAW,6,2,2000,415,0.242,0.402,1
NMP_RIDE_RAW,6,3,1866,384,0.258,0.193,1
NMP_RIDE_RAW,6,4,426,82,0.181,0.134,1
NMP_RIDE_RAW,7,0,39637,8730,0.777,0.806,1
NMP_RIDE_RAW,7,1,1880,530,0.566,0.755,1
NMP_RIDE_RAW,7,2,1697,550,0.346,0.809,0
NMP_RIDE_RAW,7,3,1438,263,0.483,0.795,0
NMP_RIDE_RAW,7,4,158,24,0.335,0.125,1
RIDE_AGAINST,0,0,1781,457,0.011,0.018,1
RIDE_AGAINST,0,1,109,27,0.073,0.185,1
RIDE_AGAINST,0,2,311,73,0.132,0.096,1
RIDE_AGAINST,0,3,1702,355,0.119,0.127,1
RIDE_AGAINST,0,4,14080,3355,0.071,0.076,1
RIDE_AGAINST,1,0,1209,321,0.061,0.065,1
RIDE_AGAINST,1,1,306,90,0.131,0.189,1
RIDE_AGAINST,1,2,775,187,0.135,0.139,1
RIDE_AGAINST,1,3,3211,727,0.154,0.132,1
RIDE_AGAINST,1,4,3649,949,0.104,0.119,1
RIDE_AGAINST,2,0,1639,446,0.106,0.143,1
RIDE_AGAINST,2,1,662,163,0.147,0.153,1
RIDE_AGAINST,2,2,1215,258,0.162,0.178,1
RIDE_AGAINST,2,3,3766,882,0.184,0.15,1
RIDE_AGAINST,2,4,2753,652,0.117,0.137,1
RIDE_AGAINST,3,0,3113,820,0.186,0.227,1
RIDE_AGAINST,3,1,1355,336,0.17,0.182,1
RIDE_AGAINST,3,2,2165,523,0.173,0.201,1
RIDE_AGAINST,3,3,5169,1177,0.213,0.19,1
RIDE_AGAINST,3,4,2703,605,0.135,0.14,1
RIDE_AGAINST,4,0,5939,1575,0.263,0.279,1
RIDE_AGAINST,4,1,1908,480,0.246,0.267,1
RIDE_AGAINST,4,2,3345,789,0.201,0.252,1
RIDE_AGAINST,4,3,6371,1504,0.235,0.225,1
RIDE_AGAINST,4,4,2468,520,0.145,0.146,1
RIDE_AGAINST,5,0,16798,4587,0.343,0.363,1
RIDE_AGAINST,5,1,4209,1153,0.332,0.289,1
RIDE_AGAINST,5,2,6044,1526,0.263,0.317,1
RIDE_AGAINST,5,3,8438,1831,0.269,0.251,1
RIDE_AGAINST,5,4,2356,562,0.17,0.189,1
RIDE_AGAINST,6,0,46504,12367,0.511,0.526,1
RIDE_AGAINST,6,1,7372,1746,0.462,0.423,1
RIDE_AGAINST,6,2,7381,1870,0.316,0.438,1
RIDE_AGAINST,6,3,7330,1882,0.314,0.366,1
RIDE_AGAINST,6,4,1372,384,0.219,0.414,1
RIDE_AGAINST,7,0,116419,29855,0.77,0.786,1
RIDE_AGAINST,7,1,8410,2342,0.602,0.666,1
RIDE_AGAINST,7,2,7424,1893,0.456,0.671,0
RIDE_AGAINST,7,3,4926,960,0.406,0.517,0
RIDE_AGAINST,7,4,526,183,0.202,0.169,1
RIDE_CALM,0,0,174,19,0.011,,-1
RIDE_CALM,0,3,164,16,0.085,,-1
RIDE_CALM,0,4,1523,257,0.065,0.078,1
RIDE_CALM,1,0,110,20,0.045,0.25,1
RIDE_CALM,1,2,82,11,0.098,,-1
RIDE_CALM,1,3,322,41,0.14,0.195,1
RIDE_CALM,1,4,472,63,0.091,0.143,1
RIDE_CALM,2,0,157,32,0.032,0.281,1
RIDE_CALM,2,1,52,15,0.115,,-1
RIDE_CALM,2,2,146,16,0.178,,-1
RIDE_CALM,2,3,399,62,0.165,0.242,1
RIDE_CALM,2,4,378,36,0.108,0.139,1
RIDE_CALM,3,0,316,57,0.123,0.386,1
RIDE_CALM,3,1,144,21,0.201,0.143,1
RIDE_CALM,3,2,228,36,0.184,0.278,1
RIDE_CALM,3,3,609,83,0.172,0.205,1
RIDE_CALM,3,4,377,36,0.119,0.306,1
RIDE_CALM,4,0,636,78,0.233,0.564,0
RIDE_CALM,4,1,236,40,0.212,0.3,1
RIDE_CALM,4,2,372,76,0.242,0.355,1
RIDE_CALM,4,3,725,111,0.194,0.27,1
RIDE_CALM,4,4,383,35,0.133,0.2,1
RIDE_CALM,5,0,1590,220,0.345,0.65,0
RIDE_CALM,5,1,478,99,0.295,0.131,1
RIDE_CALM,5,2,899,143,0.315,0.497,1
RIDE_CALM,5,3,1037,174,0.246,0.397,1
RIDE_CALM,5,4,315,52,0.152,0.5,0
RIDE_CALM,6,0,4685,955,0.552,0.572,1
RIDE_CALM,6,1,913,254,0.497,0.713,0
RIDE_CALM,6,2,1529,244,0.464,0.717,0
RIDE_CALM,6,3,1126,162,0.242,0.623,0
RIDE_CALM,6,4,176,19,0.131,,-1
RIDE_CALM,7,0,11512,3288,0.726,0.809,1
RIDE_CALM,7,1,1190,222,0.671,0.608,1
RIDE_CALM,7,2,1229,85,0.526,0.224,0
RIDE_CALM,7,3,807,21,0.404,0.0,1
RIDE_CALM,7,4,76,1,0.079,,-1
RIDE_MOMENTUM,0,0,163,21,0.0,0.0,1
RIDE_MOMENTUM,0,3,191,25,0.12,0.08,1
RIDE_MOMENTUM,0,4,1409,308,0.067,0.058,1
RIDE_MOMENTUM,1,0,124,10,0.032,,-1
RIDE_MOMENTUM,1,2,75,13,0.173,,-1
RIDE_MOMENTUM,1,3,325,58,0.175,0.121,1
RIDE_MOMENTUM,1,4,394,94,0.091,0.117,1
RIDE_MOMENTUM,2,0,174,29,0.121,0.0,1
RIDE_MOMENTUM,2,1,67,19,0.104,,-1
RIDE_MOMENTUM,2,2,113,23,0.159,0.043,1
RIDE_MOMENTUM,2,3,401,73,0.212,0.219,1
RIDE_MOMENTUM,2,4,280,66,0.104,0.152,1
RIDE_MOMENTUM,3,0,348,57,0.178,0.0,1
RIDE_MOMENTUM,3,1,122,34,0.139,0.088,1
RIDE_MOMENTUM,3,2,216,35,0.181,0.143,1
RIDE_MOMENTUM,3,3,572,131,0.257,0.237,1
RIDE_MOMENTUM,3,4,242,53,0.103,0.132,1
RIDE_MOMENTUM,4,0,678,115,0.229,0.078,1
RIDE_MOMENTUM,4,1,167,30,0.299,0.067,1
RIDE_MOMENTUM,4,2,306,66,0.343,0.258,1
RIDE_MOMENTUM,4,3,663,180,0.281,0.322,1
RIDE_MOMENTUM,4,4,223,44,0.049,0.25,1
RIDE_MOMENTUM,5,0,1814,330,0.318,0.185,1
RIDE_MOMENTUM,5,1,404,105,0.359,0.2,1
RIDE_MOMENTUM,5,2,664,203,0.498,0.281,1
RIDE_MOMENTUM,5,3,968,233,0.272,0.511,0
RIDE_MOMENTUM,5,4,164,49,0.098,0.449,1
RIDE_MOMENTUM,6,0,5283,974,0.496,0.334,1
RIDE_MOMENTUM,6,1,867,251,0.574,0.474,0
RIDE_MOMENTUM,6,2,974,297,0.456,0.589,0
RIDE_MOMENTUM,6,3,1111,261,0.273,0.674,0
RIDE_MOMENTUM,6,4,168,20,0.083,0.2,1
RIDE_MOMENTUM,7,0,12625,2045,0.755,0.596,1
RIDE_MOMENTUM,7,1,1296,639,0.794,0.82,1
RIDE_MOMENTUM,7,2,777,370,0.777,0.938,1
RIDE_MOMENTUM,7,3,534,293,0.575,0.997,1
RIDE_MOMENTUM,7,4,75,17,0.133,,-1
