X,Y,regime_2d,max_diag_tf,max_diag_r,max_offdiag_tfX,max_offdiag_tfY,max_offdiag_r,offdiag_lift,sign_match
price_velocity_w,price_sigma_w,FLAT_SMOOTH,1D,0.5745355691107399,4h,1D,0.555695093453988,-0.018840475656751843,True
price_velocity_w,price_sigma_w,UP_CHOPPY,1D,-0.8771237020761019,1D,4h,-0.8539950377681441,-0.02312866430795779,True
price_velocity_w,vol_mean_w,FLAT_SMOOTH,1D,0.22157257974043398,4h,1D,0.18454228352550212,-0.03703029621493187,True
price_velocity_w,vol_mean_w,UP_SMOOTH,1h,0.5480840976736593,1h,1D,0.48337864684672355,-0.06470545082693574,True
price_velocity_1b,bar_range,ALL,1D,0.20080229637325228,1D,4h,-0.12772395303702008,-0.0730783433362322,False
price_velocity_1b,reversion_prob_w,FLAT_SMOOTH,1D,-0.21732145679048356,1D,4h,0.14192369745646594,-0.07539775933401763,False
price_velocity_w,price_sigma_w,DOWN_SMOOTH,1h,-0.8375531557001227,4h,1h,-0.7566165010421616,-0.08093665465796107,True
body,reversion_prob_w,ALL,1D,-0.14284335544192725,15s,1m,0.038232240061107085,-0.10461111538082016,False
price_velocity_1b,bar_range,UP_CHOPPY,4h,0.5593819075248739,1D,1h,-0.44776975090525784,-0.1116121566196161,False
price_velocity_1b,reversion_prob_w,ALL,1D,-0.1614723233612344,1D,4h,0.04054065633521494,-0.12093166702601946,False
bar_range,body,ALL,1D,0.22055968540794604,4h,1D,-0.09856115526232913,-0.12199853014561692,False
bar_range,body,UP_CHOPPY,4h,0.5583972207178125,1h,4h,0.4253217343675934,-0.1330754863502191,True
price_velocity_w,SE_low_w,FLAT_SMOOTH,4h,0.4731114257285009,1D,4h,0.3398081192120225,-0.13330330651647843,True
price_velocity_1b,bar_range,FLAT_CHOPPY,4h,-0.34507415138254305,4h,1h,-0.1983226417578774,-0.14675150962466565,True
bar_range,body,FLAT_CHOPPY,4h,-0.3484391331183169,1h,4h,-0.1979914128972456,-0.15044772022107133,True
price_velocity_1b,reversion_prob_w,FLAT_CHOPPY,4h,0.2281325253941362,1D,4h,0.052323531245271025,-0.17580899414886517,True
price_velocity_w,vol_mean_w,DOWN_CHOPPY,1h,-0.5684391838931591,4h,1h,-0.3624196264899149,-0.20601955740324418,True
price_velocity_w,SE_low_w,UP_SMOOTH,1h,0.8010091734498276,1h,4h,0.5751408212006143,-0.2258683522492133,True
body,reversion_prob_w,FLAT_SMOOTH,1D,-0.30062008942507584,15s,1m,0.0572686925069023,-0.24335139691817353,False
body,reversion_prob_w,FLAT_CHOPPY,4h,0.313035812556239,4h,1D,0.060919901820619266,-0.2521159107356198,True
price_velocity_w,SE_low_w,DOWN_CHOPPY,1h,-0.6051154181970709,15m,5m,-0.3405293852654107,-0.2645860329316602,True
price_velocity_1b,bar_range,DOWN_CHOPPY,4h,-0.578956298173151,4h,1h,-0.29617776964009807,-0.2827785285330529,True
bar_range,body,DOWN_CHOPPY,4h,-0.5786590650174983,1h,4h,-0.29494625866955365,-0.28371280634794466,True
body,reversion_prob_w,UP_CHOPPY,4h,-0.3982367156733228,1D,1h,0.11093956808109703,-0.2872971475922258,False
body,reversion_prob_w,UP_SMOOTH,1h,-0.40164402762721874,1h,1D,0.11231332364848945,-0.2893307039787293,False
price_velocity_w,price_sigma_w,UP_SMOOTH,1h,0.8872957470571483,1h,1D,0.5971460918264148,-0.29014965523073355,True
bar_range,body,FLAT_SMOOTH,1D,0.48065803259335155,1h,4h,-0.1845341976248371,-0.29612383496851447,False
price_velocity_1b,bar_range,FLAT_SMOOTH,1D,0.46747887179661207,1D,1h,0.1660548071702402,-0.30142406462637183,True
price_velocity_1b,bar_range,DOWN_SMOOTH,4h,-0.7377080954719447,4h,1h,-0.43540688704471975,-0.30230120842722497,True
price_velocity_1b,reversion_prob_w,UP_CHOPPY,4h,-0.3978287426317091,1D,1h,0.09315318211173362,-0.30467556051997546,False
bar_range,body,DOWN_SMOOTH,4h,-0.752700704685434,1h,4h,-0.4452045948444389,-0.3074961098409951,True
price_velocity_1b,reversion_prob_w,UP_SMOOTH,1h,-0.4219557792371742,1h,1D,0.1137807372873764,-0.30817504194979783,False
price_velocity_w,price_sigma_w,DOWN_CHOPPY,1h,-0.7591735871643497,4h,1D,-0.41513973235489227,-0.3440338548094574,True
price_velocity_1b,reversion_prob_w,DOWN_CHOPPY,4h,0.5044457987177043,1D,1h,-0.12028642649811155,-0.3841593722195928,False
body,reversion_prob_w,DOWN_CHOPPY,4h,0.5049073078921752,1D,1h,-0.12031392919785908,-0.3845933786943161,False
price_velocity_1b,reversion_prob_w,DOWN_SMOOTH,1h,0.5310586376645511,1D,1h,-0.11199264056863492,-0.4190659970959162,False
body,reversion_prob_w,DOWN_SMOOTH,1h,0.5346692406904939,1D,1h,-0.10747846261758302,-0.4271907780729109,False
price_velocity_1b,bar_range,UP_SMOOTH,4h,0.8260640413816408,1h,5s,0.3262410391690824,-0.4998230022125584,True
bar_range,body,UP_SMOOTH,4h,0.8353730858904544,5s,1h,0.33181290061645446,-0.5035601852739999,True
