**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,r_h1,r_h2,delta,abs_delta,sign_flip,n_h1,n_h2
5s,price_velocity_1b,bar_range,DOWN_SMOOTH,-0.1732509605577147,-0.1858460282063062,-0.012595067648591501,0.012595067648591501,False,2778,1884
5s,price_velocity_1b,bar_range,DOWN_CHOPPY,-0.03771958198544652,-0.23847018544816373,-0.20075060346271723,0.20075060346271723,False,1716,1272
5s,price_velocity_1b,bar_range,FLAT_SMOOTH,-0.0037823154794556454,-0.1090015649415409,-0.10521924946208525,0.10521924946208525,False,5717,4176
5s,price_velocity_1b,bar_range,FLAT_CHOPPY,-0.08667737781022901,0.028731431227096153,0.11540880903732516,0.11540880903732516,False,8736,9579
5s,price_velocity_1b,body,UP_SMOOTH,0.9447988976522111,0.8315923879667878,-0.11320650968542334,0.11320650968542334,False,3324,3822
5s,price_velocity_1b,body,UP_CHOPPY,0.9581712958603317,0.9138864692006203,-0.04428482665971134,0.04428482665971134,False,996,2928
5s,price_velocity_1b,body,DOWN_SMOOTH,0.9140646154816716,0.9156733629256382,0.0016087474439665517,0.0016087474439665517,False,2778,1884
5s,price_velocity_1b,body,DOWN_CHOPPY,0.9243740903441416,0.9083456292002712,-0.016028461143870465,0.016028461143870465,False,1716,1272
5s,price_velocity_1b,body,FLAT_SMOOTH,0.9103552445789824,0.8730170043309184,-0.03733824024806398,0.03733824024806398,False,5717,4176
5s,price_velocity_1b,body,FLAT_CHOPPY,0.9191493450093235,0.847999578960656,-0.07114976604866752,0.07114976604866752,False,8736,9579
5s,price_velocity_1b,price_velocity_w,UP_SMOOTH,0.27535632955867406,0.4067946499369898,0.13143832037831576,0.13143832037831576,False,3324,3822
5s,price_velocity_1b,price_velocity_w,UP_CHOPPY,0.171491540212184,0.31468776151671257,0.14319622130452858,0.14319622130452858,False,996,2928
5s,price_velocity_1b,price_velocity_w,DOWN_SMOOTH,0.37215114222836354,0.32690662337887705,-0.04524451884948649,0.04524451884948649,False,2778,1884
5s,price_velocity_1b,price_velocity_w,DOWN_CHOPPY,0.31485772632369047,0.39273027402311417,0.0778725476994237,0.0778725476994237,False,1716,1272
5s,price_velocity_1b,price_velocity_w,FLAT_SMOOTH,0.32028159407026985,0.3024670782472756,-0.01781451582299426,0.01781451582299426,False,5717,4176
5s,price_velocity_1b,price_velocity_w,FLAT_CHOPPY,0.28505758107919277,0.3000894258668143,0.01503184478762154,0.01503184478762154,False,8736,9579
5s,price_velocity_1b,price_accel_w,UP_SMOOTH,0.6431646499729384,0.6957437561946258,0.05257910622168738,0.05257910622168738,False,3324,3822
5s,price_velocity_1b,price_accel_w,UP_CHOPPY,0.638160338528351,0.6771342819620731,0.03897394343372218,0.03897394343372218,False,996,2928
5s,price_velocity_1b,price_accel_w,DOWN_SMOOTH,0.6896848171385594,0.6492742529130296,-0.0404105642255298,0.0404105642255298,False,2778,1884
5s,price_velocity_1b,price_accel_w,DOWN_CHOPPY,0.6651542910949031,0.646135831285242,-0.019018459809661103,0.019018459809661103,False,1716,1272
5s,price_velocity_1b,price_accel_w,FLAT_SMOOTH,0.6289224116859334,0.6562684800829457,0.027346068397012258,0.027346068397012258,False,5717,4176
5s,price_velocity_1b,price_accel_w,FLAT_CHOPPY,0.6303778223354143,0.6603731448087393,0.029995322473325037,0.029995322473325037,False,8736,9579
5s,price_velocity_1b,vol_velocity_w,UP_SMOOTH,-0.18951615477549946,-0.07500595956267415,0.11451019521282531,0.11451019521282531,False,3324,3822
5s,price_velocity_1b,vol_velocity_w,UP_CHOPPY,0.024664816759361934,0.03364466981197503,0.008979853052613097,0.008979853052613097,False,996,2928
5s,price_velocity_1b,vol_velocity_w,DOWN_SMOOTH,-0.00404249729720329,-0.11810698014960688,-0.11406448285240359,0.11406448285240359,False,2778,1884
5s,price_velocity_1b,vol_velocity_w,DOWN_CHOPPY,0.024758615493766567,-0.060897524356612484,-0.08565613985037905,0.08565613985037905,False,1716,1272
5s,price_velocity_1b,vol_velocity_w,FLAT_SMOOTH,-0.04444734014473329,-0.05482036064479048,-0.010373020500057194,0.010373020500057194,False,5717,4176
5s,price_velocity_1b,vol_velocity_w,FLAT_CHOPPY,-0.07206885226166297,0.023816606869780654,0.09588545913144363,0.09588545913144363,False,8736,9579
5s,price_velocity_1b,vol_accel_w,UP_SMOOTH,-0.1773055042236059,-0.06767173247161887,0.10963377175198702,0.10963377175198702,False,3324,3822
5s,price_velocity_1b,vol_accel_w,UP_CHOPPY,-0.014327652245055417,0.048939217189242754,0.06326686943429817,0.06326686943429817,False,996,2928
5s,price_velocity_1b,vol_accel_w,DOWN_SMOOTH,-0.023879092945024574,-0.11566516147700474,-0.09178606853198017,0.09178606853198017,False,2778,1884
5s,price_velocity_1b,vol_accel_w,DOWN_CHOPPY,0.04734768677646131,-0.03843089096038768,-0.085778577736849,0.085778577736849,False,1716,1272
5s,price_velocity_1b,vol_accel_w,FLAT_SMOOTH,-0.04601049845251563,-0.06795747030979801,-0.02194697185728238,0.02194697185728238,False,5717,4176
5s,price_velocity_1b,vol_accel_w,FLAT_CHOPPY,-0.06642036175455754,0.021932783147067866,0.08835314490162541,0.08835314490162541,False,8736,9579
5s,price_velocity_1b,price_mean_w,UP_SMOOTH,-0.02153726582676015,-0.011489290742960923,0.010047975083799227,0.010047975083799227,False,3324,3822
5s,price_velocity_1b,price_mean_w,UP_CHOPPY,0.024966218149857333,0.005987398006105638,-0.018978820143751695,0.018978820143751695,False,996,2928
5s,price_velocity_1b,price_mean_w,DOWN_SMOOTH,0.05266689735414015,-0.012600893630706706,-0.06526779098484686,0.06526779098484686,False,2778,1884
5s,price_velocity_1b,price_mean_w,DOWN_CHOPPY,0.014141175861632837,0.04645672153652524,0.03231554567489241,0.03231554567489241,False,1716,1272
5s,price_velocity_1b,price_mean_w,FLAT_SMOOTH,0.008452927317531183,0.010042315964059391,0.0015893886465282083,0.0015893886465282083,False,5717,4176
5s,price_velocity_1b,price_mean_w,FLAT_CHOPPY,0.01853618617598757,0.007935618782972595,-0.010600567393014976,0.010600567393014976,False,8736,9579
5s,price_velocity_1b,price_sigma_w,UP_SMOOTH,-0.014105153054312774,0.0497645452525002,0.06386969830681298,0.06386969830681298,False,3324,3822
5s,price_velocity_1b,price_sigma_w,UP_CHOPPY,-0.10265070059189803,0.02416426427871477,0.1268149648706128,0.1268149648706128,False,996,2928
5s,price_velocity_1b,price_sigma_w,DOWN_SMOOTH,-0.12187315294291397,-0.0611717833214342,0.06070136962147977,0.06070136962147977,False,2778,1884
5s,price_velocity_1b,price_sigma_w,DOWN_CHOPPY,0.012297661363879634,-0.1571426852305586,-0.16944034659443824,0.16944034659443824,False,1716,1272
5s,price_velocity_1b,price_sigma_w,FLAT_SMOOTH,-0.023506891947920765,-0.06145936140304975,-0.037952469455128986,0.037952469455128986,False,5717,4176
5s,price_velocity_1b,price_sigma_w,FLAT_CHOPPY,-0.04351264725026227,0.03684542302846917,0.08035807027873143,0.08035807027873143,False,8736,9579
5s,price_velocity_1b,vol_mean_w,UP_SMOOTH,-0.14483501856296838,-0.04627033532437473,0.09856468323859364,0.09856468323859364,False,3324,3822
5s,price_velocity_1b,vol_mean_w,UP_CHOPPY,0.029239776126280984,0.003046670585365544,-0.02619310554091544,0.02619310554091544,False,996,2928
5s,price_velocity_1b,vol_mean_w,DOWN_SMOOTH,0.005162138096425369,-0.1376623329269744,-0.1428244710233998,0.1428244710233998,False,2778,1884
5s,price_velocity_1b,vol_mean_w,DOWN_CHOPPY,0.005148828006244273,-0.0991246016927688,-0.10427342969901307,0.10427342969901307,False,1716,1272
5s,price_velocity_1b,vol_mean_w,FLAT_SMOOTH,-0.03838937693819852,-0.07119330916651272,-0.032803932228314195,0.032803932228314195,False,5717,4176
5s,price_velocity_1b,vol_mean_w,FLAT_CHOPPY,-0.038670592563716764,0.024170265634639736,0.0628408581983565,0.0628408581983565,False,8736,9579
5s,price_velocity_1b,vol_sigma_w,UP_SMOOTH,-0.19047254445469128,-0.04078399892242903,0.14968854553226224,0.14968854553226224,False,3324,3822
5s,price_velocity_1b,vol_sigma_w,UP_CHOPPY,0.011034631270983699,0.02112676885337914,0.01009213758239544,0.01009213758239544,False,996,2928
5s,price_velocity_1b,vol_sigma_w,DOWN_SMOOTH,0.014117705851677688,-0.14806298965215386,-0.16218069550383155,0.16218069550383155,False,2778,1884
5s,price_velocity_1b,vol_sigma_w,DOWN_CHOPPY,0.015183736832929487,-0.0857520290779311,-0.10093576591086059,0.10093576591086059,False,1716,1272
5s,price_velocity_1b,vol_sigma_w,FLAT_SMOOTH,-0.04495796007535717,-0.08573120741134883,-0.040773247335991664,0.040773247335991664,False,5717,4176
5s,price_velocity_1b,vol_sigma_w,FLAT_CHOPPY,-0.05399855511585925,0.03988525133678466,0.09388380645264391,0.09388380645264391,False,8736,9579
5s,price_velocity_1b,vwap_w,UP_SMOOTH,-0.02132413379152021,-0.011306534406128164,0.010017599385392045,0.010017599385392045,False,3324,3822
5s,price_velocity_1b,vwap_w,UP_CHOPPY,0.025072713034939662,0.006141407312652952,-0.018931305722286712,0.018931305722286712,False,996,2928
5s,price_velocity_1b,vwap_w,DOWN_SMOOTH,0.052834274781766576,-0.012455612037666096,-0.06528988681943267,0.06528988681943267,False,2778,1884
5s,price_velocity_1b,vwap_w,DOWN_CHOPPY,0.014276097621281555,0.046950421388832785,0.03267432376755123,0.03267432376755123,False,1716,1272
5s,price_velocity_1b,vwap_w,FLAT_SMOOTH,0.008595922638847375,0.010133998154756156,0.0015380755159087808,0.0015380755159087808,False,5717,4176
5s,price_velocity_1b,vwap_w,FLAT_CHOPPY,0.018701964639776178,0.008060212680409013,-0.010641751959367165,0.010641751959367165,False,8736,9579
5s,price_velocity_1b,z_se_w,UP_SMOOTH,0.5296854305196976,0.5960087355830966,0.06632330506339901,0.06632330506339901,False,3324,3822
5s,price_velocity_1b,z_se_w,UP_CHOPPY,0.5027926418183135,0.6343908773563824,0.13159823553806893,0.13159823553806893,False,996,2928
5s,price_velocity_1b,z_se_w,DOWN_SMOOTH,0.5269525439756504,0.639817644424247,0.11286510044859666,0.11286510044859666,False,2778,1884
5s,price_velocity_1b,z_se_w,DOWN_CHOPPY,0.6066981588983257,0.6761577751484559,0.0694596162501302,0.0694596162501302,False,1716,1272
5s,price_velocity_1b,z_se_w,FLAT_SMOOTH,0.6075148821582464,0.6643914749825814,0.05687659282433499,0.05687659282433499,False,5717,4176
5s,price_velocity_1b,z_se_w,FLAT_CHOPPY,0.5857102228743549,0.5930399554494742,0.007329732575119263,0.007329732575119263,False,8736,9579
5s,price_velocity_1b,z_high_w,UP_SMOOTH,0.32481735098695286,0.4044466254455982,0.07962927445864532,0.07962927445864532,False,3324,3822
5s,price_velocity_1b,z_high_w,UP_CHOPPY,0.28314398993329687,0.4034650540136177,0.12032106408032084,0.12032106408032084,False,996,2928
5s,price_velocity_1b,z_high_w,DOWN_SMOOTH,0.2867494483157282,0.34646691686524944,0.05971746854952126,0.05971746854952126,False,2778,1884
5s,price_velocity_1b,z_high_w,DOWN_CHOPPY,0.33161109392397325,0.4263989938871815,0.09478789996320824,0.09478789996320824,False,1716,1272
5s,price_velocity_1b,z_high_w,FLAT_SMOOTH,0.3846477860995564,0.4035160205723458,0.018868234472789402,0.018868234472789402,False,5717,4176
5s,price_velocity_1b,z_high_w,FLAT_CHOPPY,0.34098782071126127,0.39402325554095147,0.0530354348296902,0.0530354348296902,False,8736,9579
5s,price_velocity_1b,z_low_w,UP_SMOOTH,0.3161254486291093,0.39182111741890974,0.07569566878980044,0.07569566878980044,False,3324,3822
5s,price_velocity_1b,z_low_w,UP_CHOPPY,0.3119296236564678,0.4173426657496419,0.10541304209317409,0.10541304209317409,False,996,2928
5s,price_velocity_1b,z_low_w,DOWN_SMOOTH,0.31594187019655334,0.3957056126520484,0.07976374245549506,0.07976374245549506,False,2778,1884
5s,price_velocity_1b,z_low_w,DOWN_CHOPPY,0.34106383112466127,0.4408216829392349,0.09975785181457364,0.09975785181457364,False,1716,1272
5s,price_velocity_1b,z_low_w,FLAT_SMOOTH,0.37016244511899954,0.4205647150840914,0.05040226996509184,0.05040226996509184,False,5717,4176
5s,price_velocity_1b,z_low_w,FLAT_CHOPPY,0.35865600024677013,0.39731984229968714,0.03866384205291701,0.03866384205291701,False,8736,9579
5s,price_velocity_1b,SE_high_w,UP_SMOOTH,0.0003900589219267356,0.10048294836939256,0.10009288944746582,0.10009288944746582,False,3324,3822
5s,price_velocity_1b,SE_high_w,UP_CHOPPY,-0.005812750779735413,0.09199931065415722,0.09781206143389262,0.09781206143389262,False,996,2928
5s,price_velocity_1b,SE_high_w,DOWN_SMOOTH,-0.04559865028345539,0.006980953775538951,0.05257960405899434,0.05257960405899434,False,2778,1884
5s,price_velocity_1b,SE_high_w,DOWN_CHOPPY,0.02659101475613182,-0.07819921376497066,-0.10479022852110248,0.10479022852110248,False,1716,1272
5s,price_velocity_1b,SE_high_w,FLAT_SMOOTH,0.030172139352164624,0.03306512563851173,0.002892986286347106,0.002892986286347106,False,5717,4176
5s,price_velocity_1b,SE_high_w,FLAT_CHOPPY,0.03537066807063246,0.09227268320483828,0.05690201513420582,0.05690201513420582,False,8736,9579
5s,price_velocity_1b,SE_low_w,UP_SMOOTH,-0.09269784050764208,-0.05014143866284797,0.04255640184479412,0.04255640184479412,False,3324,3822
5s,price_velocity_1b,SE_low_w,UP_CHOPPY,-0.06435672556347836,-0.05207927473262361,0.012277450830854755,0.012277450830854755,False,996,2928
5s,price_velocity_1b,SE_low_w,DOWN_SMOOTH,-0.092355793588418,-0.10288131598291231,-0.010525522394494308,0.010525522394494308,False,2778,1884
5s,price_velocity_1b,SE_low_w,DOWN_CHOPPY,-0.04088792495057185,-0.1674686655841057,-0.12658074063353386,0.12658074063353386,False,1716,1272
5s,price_velocity_1b,SE_low_w,FLAT_SMOOTH,-0.0816624082977413,-0.08785386961661473,-0.006191461318873437,0.006191461318873437,False,5717,4176
5s,price_velocity_1b,SE_low_w,FLAT_CHOPPY,-0.06979146671570868,0.036381911495558736,0.10617337821126742,0.10617337821126742,False,8736,9579
5s,price_velocity_1b,hurst_w,UP_SMOOTH,0.019633065025125844,-0.0037294007348126434,-0.023362465759938486,0.023362465759938486,False,3324,3822
5s,price_velocity_1b,hurst_w,UP_CHOPPY,-0.042844705813693686,-0.0070517727527934304,0.035792933060900256,0.035792933060900256,False,996,2928
5s,price_velocity_1b,hurst_w,DOWN_SMOOTH,-0.007876118626343954,-0.030230369592614964,-0.02235425096627101,0.02235425096627101,False,2778,1884
5s,price_velocity_1b,hurst_w,DOWN_CHOPPY,-0.03463295812942222,-0.02134353701911006,0.013289421110312161,0.013289421110312161,False,1716,1272
5s,price_velocity_1b,hurst_w,FLAT_SMOOTH,-0.0032839399924045097,-0.019935805352299982,-0.016651865359895473,0.016651865359895473,False,5717,4176
5s,price_velocity_1b,hurst_w,FLAT_CHOPPY,0.00678144074488393,-0.006045536071083378,-0.012826976815967308,0.012826976815967308,False,8736,9579
5s,price_velocity_1b,reversion_prob_w,UP_SMOOTH,0.05445696660996995,-0.0003359856572564907,-0.05479295226722644,0.05479295226722644,False,3324,3822
5s,price_velocity_1b,reversion_prob_w,UP_CHOPPY,0.008435980716782157,0.005477645758169849,-0.0029583349586123084,0.0029583349586123084,False,996,2928
5s,price_velocity_1b,reversion_prob_w,DOWN_SMOOTH,0.024969033979390924,0.06188469341589788,0.03691565943650696,0.03691565943650696,False,2778,1884
5s,price_velocity_1b,reversion_prob_w,DOWN_CHOPPY,0.042465138940172426,0.12652023398610002,0.08405509504592759,0.08405509504592759,False,1716,1272
5s,price_velocity_1b,reversion_prob_w,FLAT_SMOOTH,0.002628129756125297,0.0661815396356197,0.0635534098794944,0.0635534098794944,False,5717,4176
5s,price_velocity_1b,reversion_prob_w,FLAT_CHOPPY,0.050071852778809586,0.014075948396536697,-0.03599590438227289,0.03599590438227289,False,8736,9579
5s,price_velocity_1b,swing_noise_w,UP_SMOOTH,-0.030628883028704514,0.05302905736180825,0.08365794039051276,0.08365794039051276,False,3324,3822
5s,price_velocity_1b,swing_noise_w,UP_CHOPPY,-0.061216829508623,0.01353967867258411,0.0747565081812071,0.0747565081812071,False,996,2928
5s,price_velocity_1b,swing_noise_w,DOWN_SMOOTH,-0.0874156666243627,-0.0823297077539656,0.005085958870397103,0.005085958870397103,False,2778,1884
5s,price_velocity_1b,swing_noise_w,DOWN_CHOPPY,-0.017936981096794664,-0.15471106431898704,-0.13677408322219237,0.13677408322219237,False,1716,1272
5s,price_velocity_1b,swing_noise_w,FLAT_SMOOTH,-0.02161635568424658,-0.04920889085743317,-0.02759253517318659,0.02759253517318659,False,5717,4176
5s,price_velocity_1b,swing_noise_w,FLAT_CHOPPY,-0.00039453967964330253,0.026362026349348425,0.026756566028991728,0.026756566028991728,False,8736,9579
5s,price_accel_1b,vol_velocity_1b,UP_SMOOTH,-0.1280755906944513,-0.04262037557850307,0.08545521511594822,0.08545521511594822,False,3324,3822
5s,price_accel_1b,vol_velocity_1b,UP_CHOPPY,-0.03635028510974904,0.006233641421013082,0.04258392653076212,0.04258392653076212,False,996,2928
5s,price_accel_1b,vol_velocity_1b,DOWN_SMOOTH,-0.025465037687841266,-0.13355574545422522,-0.10809070776638395,0.10809070776638395,False,2778,1884
5s,price_accel_1b,vol_velocity_1b,DOWN_CHOPPY,0.02719944688734042,-0.061066064510978756,-0.08826551139831917,0.08826551139831917,False,1716,1272
5s,price_accel_1b,vol_velocity_1b,FLAT_SMOOTH,-0.05227723748661516,-0.03196739132875315,0.020309846157862015,0.020309846157862015,False,5717,4176
5s,price_accel_1b,vol_velocity_1b,FLAT_CHOPPY,-0.03859721669936632,0.002394039225776853,0.040991255925143175,0.040991255925143175,False,8736,9579
5s,price_accel_1b,vol_accel_1b,UP_SMOOTH,-0.1427012844725962,-0.005785874661222703,0.13691540981137348,0.13691540981137348,False,3324,3822
5s,price_accel_1b,vol_accel_1b,UP_CHOPPY,-0.03799379572233494,-0.0421864290321174,-0.004192633309782458,0.004192633309782458,False,996,2928
5s,price_accel_1b,vol_accel_1b,DOWN_SMOOTH,-0.016260358200465997,-0.11011183616404135,-0.09385147796357536,0.09385147796357536,False,2778,1884
5s,price_accel_1b,vol_accel_1b,DOWN_CHOPPY,0.036834833621460644,-0.05456183049474073,-0.09139666411620137,0.09139666411620137,False,1716,1272
5s,price_accel_1b,vol_accel_1b,FLAT_SMOOTH,-0.06443455105963795,-0.01416789270767918,0.05026665835195877,0.05026665835195877,False,5717,4176
5s,price_accel_1b,vol_accel_1b,FLAT_CHOPPY,-0.03557377624695134,-0.049868545441497256,-0.014294769194545913,0.014294769194545913,False,8736,9579
5s,price_accel_1b,bar_range,UP_SMOOTH,0.1011804420445935,-0.0027995628778194354,-0.10398000492241294,0.10398000492241294,False,3324,3822
5s,price_accel_1b,bar_range,UP_CHOPPY,-0.07314406385671358,-0.01788450247255819,0.055259561384155394,0.055259561384155394,False,996,2928
5s,price_accel_1b,bar_range,DOWN_SMOOTH,-0.13019358798796593,-0.13630926093173779,-0.006115672943771855,0.006115672943771855,False,2778,1884
5s,price_accel_1b,bar_range,DOWN_CHOPPY,-0.007260569842554535,-0.11214789232743999,-0.10488732248488546,0.10488732248488546,False,1716,1272
5s,price_accel_1b,bar_range,FLAT_SMOOTH,0.032335858387046154,-0.07641786658770079,-0.10875372497474695,0.10875372497474695,False,5717,4176
5s,price_accel_1b,bar_range,FLAT_CHOPPY,-0.0314182214583656,0.05286640449377365,0.08428462595213926,0.08428462595213926,False,8736,9579
5s,price_accel_1b,body,UP_SMOOTH,0.6439062538887436,0.5677296089246253,-0.07617664496411825,0.07617664496411825,False,3324,3822
5s,price_accel_1b,body,UP_CHOPPY,0.6911741877132257,0.611710474850207,-0.07946371286301868,0.07946371286301868,False,996,2928
5s,price_accel_1b,body,DOWN_SMOOTH,0.6528409831391734,0.6274424190464944,-0.025398564092678932,0.025398564092678932,False,2778,1884
5s,price_accel_1b,body,DOWN_CHOPPY,0.6498870181522972,0.5987311150505954,-0.051155903101701816,0.051155903101701816,False,1716,1272
5s,price_accel_1b,body,FLAT_SMOOTH,0.6162053330198217,0.649106496758341,0.03290116373851926,0.03290116373851926,False,5717,4176
5s,price_accel_1b,body,FLAT_CHOPPY,0.6401825624720225,0.5448412038411465,-0.095341358630876,0.095341358630876,False,8736,9579
5s,price_accel_1b,price_velocity_w,UP_SMOOTH,0.10725026629182022,0.06915834705423567,-0.03809191923758455,0.03809191923758455,False,3324,3822
5s,price_accel_1b,price_velocity_w,UP_CHOPPY,0.04689471438676734,0.04607647153319702,-0.0008182428535703154,0.0008182428535703154,False,996,2928
5s,price_accel_1b,price_velocity_w,DOWN_SMOOTH,0.0816894587117344,0.02871959329560031,-0.05296986541613409,0.05296986541613409,False,2778,1884
5s,price_accel_1b,price_velocity_w,DOWN_CHOPPY,0.09177223016831548,0.02035222393377638,-0.0714200062345391,0.0714200062345391,False,1716,1272
5s,price_accel_1b,price_velocity_w,FLAT_SMOOTH,0.013202233983982507,0.03804027680836891,0.024838042824386404,0.024838042824386404,False,5717,4176
5s,price_accel_1b,price_velocity_w,FLAT_CHOPPY,0.01865427062794522,-0.010675890469938012,-0.029330161097883233,0.029330161097883233,False,8736,9579
5s,price_accel_1b,price_accel_w,UP_SMOOTH,0.393671878880489,0.5043707758381768,0.11069889695768781,0.11069889695768781,False,3324,3822
5s,price_accel_1b,price_accel_w,UP_CHOPPY,0.337912810270663,0.503707522459167,0.16579471218850395,0.16579471218850395,False,996,2928
5s,price_accel_1b,price_accel_w,DOWN_SMOOTH,0.5164256437445325,0.4279644167198963,-0.08846122702463616,0.08846122702463616,False,2778,1884
5s,price_accel_1b,price_accel_w,DOWN_CHOPPY,0.4655285006096991,0.46314220861009736,-0.0023862919996017196,0.0023862919996017196,False,1716,1272
5s,price_accel_1b,price_accel_w,FLAT_SMOOTH,0.4521227917404636,0.4969623813693854,0.04483958962892182,0.04483958962892182,False,5717,4176
5s,price_accel_1b,price_accel_w,FLAT_CHOPPY,0.4729051606185974,0.46709047529289527,-0.005814685325702118,0.005814685325702118,False,8736,9579
5s,price_accel_1b,vol_velocity_w,UP_SMOOTH,-0.10278576273753276,-0.07704602276091854,0.025739739976614218,0.025739739976614218,False,3324,3822
5s,price_accel_1b,vol_velocity_w,UP_CHOPPY,-0.006192642698316118,0.005929607920119767,0.012122250618435885,0.012122250618435885,False,996,2928
5s,price_accel_1b,vol_velocity_w,DOWN_SMOOTH,-0.024826024427616677,-0.12154469530370912,-0.09671867087609244,0.09671867087609244,False,2778,1884
5s,price_accel_1b,vol_velocity_w,DOWN_CHOPPY,0.0211642904799045,-0.07563804031803106,-0.09680233079793557,0.09680233079793557,False,1716,1272
5s,price_accel_1b,vol_velocity_w,FLAT_SMOOTH,-0.03548749507240557,-0.030384199518087726,0.005103295554317842,0.005103295554317842,False,5717,4176
5s,price_accel_1b,vol_velocity_w,FLAT_CHOPPY,-0.017088676058715717,0.0411938619657647,0.05828253802448042,0.05828253802448042,False,8736,9579
5s,price_accel_1b,vol_accel_w,UP_SMOOTH,-0.12118911243831602,-0.046657947415385426,0.0745311650229306,0.0745311650229306,False,3324,3822
5s,price_accel_1b,vol_accel_w,UP_CHOPPY,-0.0456581474591029,-0.0052379395958477605,0.040420207863255134,0.040420207863255134,False,996,2928
5s,price_accel_1b,vol_accel_w,DOWN_SMOOTH,-0.02466596343028344,-0.13090882011353758,-0.10624285668325414,0.10624285668325414,False,2778,1884
5s,price_accel_1b,vol_accel_w,DOWN_CHOPPY,0.04970330345550307,-0.06468190775803072,-0.11438521121353379,0.11438521121353379,False,1716,1272
5s,price_accel_1b,vol_accel_w,FLAT_SMOOTH,-0.045094773796442424,-0.023186095294721137,0.021908678501721287,0.021908678501721287,False,5717,4176
5s,price_accel_1b,vol_accel_w,FLAT_CHOPPY,-0.01457554374345888,0.003913117342108338,0.018488661085567216,0.018488661085567216,False,8736,9579
5s,price_accel_1b,price_mean_w,UP_SMOOTH,-0.0426653490647465,0.0013680524581634406,0.04403340152290994,0.04403340152290994,False,3324,3822
5s,price_accel_1b,price_mean_w,UP_CHOPPY,0.009578409076841729,0.029660939488823104,0.020082530411981374,0.020082530411981374,False,996,2928
5s,price_accel_1b,price_mean_w,DOWN_SMOOTH,0.04320428439811158,-0.015675632904809392,-0.05887991730292097,0.05887991730292097,False,2778,1884
